,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1603897,1349613,SCR009,SCR009,Concurrent Resolution Addressing Olympics,Concurrent Resolution Addressing Olympics,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR009.json,4,2020-04-01,http://le.utah.gov/~2020/bills/sbillenr/SCR009.pdf
1603898,1351286,SCR010,SCR010,Concurrent Resolution on State Employee Benefits and Providing a Refund from the State Health Insurance Pool,Concurrent Resolution on State Employee Benefits and Providing a Refund from the State Health Insurance Pool,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR010.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR010.pdf
1603899,1352109,SCR011,SCR011,Concurrent Resolution Urging the Issuance of Federal Guidelines to Protect Consumers of Cannabidiol Products,Concurrent Resolution Urging the Issuance of Federal Guidelines to Protect Consumers of Cannabidiol Products,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR011.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SCR011.pdf
1603900,1353537,SCR012,SCR012,Concurrent Resolution Concerning Climate Action,Concurrent Resolution Concerning Climate Action,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR012.json,1,2020-03-02,http://le.utah.gov/~2020/bills/sbillint/SCR012.pdf
1603901,1354098,SCR013,SCR013,Concurrent Resolution Encouraging More Study into Emotional Support Animals,Concurrent Resolution Encouraging More Study into Emotional Support Animals,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR013.json,4,2020-04-01,http://le.utah.gov/~2020/bills/sbillenr/SCR013.pdf
1603902,1356328,SCR014,SCR014,Concurrent Resolution Honoring Utahns Who Died in WWII,Concurrent Resolution Honoring Utahns Who Died in WWII,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SCR014.json,2,2020-03-09,http://le.utah.gov/~2020/bills/sbillint/SCR014.pdf
1603903,1294240,SJR001,SJR001,Joint Resolution Supporting Coordination of Care for Older Adults Receiving Home Health Care Services,Joint Resolution Supporting Coordination of Care for Older Adults Receiving Home Health Care Services,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR001.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR001.pdf
1603904,1294220,SJR002,SJR002,Joint Resolution Encouraging Action to Reduce the Number of Utah Children with Elevated Blood Lead Levels,Joint Resolution Encouraging Action to Reduce the Number of Utah Children with Elevated Blood Lead Levels,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR002.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR002.pdf
1603905,1296849,SJR003,SJR003,Proposal to Amend Utah Constitution -- Annual General Sessions of the Legislature,Proposal to Amend Utah Constitution -- Annual General Sessions of the Legislature,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR003.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR003.pdf
1603906,1311508,SJR004,SJR004,Proposal to Amend Utah Constitution -- Filling Judicial Vacancies,Proposal to Amend Utah Constitution -- Filling Judicial Vacancies,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR004.json,1,2020-01-27,http://le.utah.gov/~2020/bills/sbillint/SJR004.pdf
1603907,1311985,SJR005,SJR005,Joint Resolution to Amend the Rules of Civil Procedure on Disqualification of a Judge,Joint Resolution to Amend the Rules of Civil Procedure on Disqualification of a Judge,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR005.json,1,2020-01-27,http://le.utah.gov/~2020/bills/sbillamd/SJR005S02.pdf
1603908,1313885,SJR006,SJR006,Joint Rules Resolution - Conflict of Interest Disclosure,Joint Rules Resolution - Conflict of Interest Disclosure,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR006.json,3,2020-03-16,http://le.utah.gov/~2020/bills/sbillenr/SJR006.pdf
1603909,1320577,SJR007,SJR007,Joint Resolution Authorizing Pay of In-session Employees,Joint Resolution Authorizing Pay of In-session Employees,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR007.json,3,2020-02-25,http://le.utah.gov/~2020/bills/sbillenr/SJR007.pdf
1603910,1320691,SJR008,SJR008,Proposal to Amend Utah Constitution - Judiciary Selection Amendments,Proposal to Amend Utah Constitution - Judiciary Selection Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR008.json,1,2020-01-28,http://le.utah.gov/~2020/bills/sbillint/SJR008.pdf
1603911,1332440,SJR009,SJR009,Proposal to Amend Utah Constitution - Use of Tax Revenue,Proposal to Amend Utah Constitution - Use of Tax Revenue,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR009.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR009.pdf
1603912,1338219,SJR010,SJR010,Proposal to Amend Utah Constitution -- Property Tax Exemption for Wildfire Prevention,Proposal to Amend Utah Constitution -- Property Tax Exemption for Wildfire Prevention,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR010.json,2,2020-03-09,http://le.utah.gov/~2020/bills/sbillint/SJR010S02.pdf
1603913,1342012,SJR011,SJR011,Joint Rules Resolution -- Workload Reporting,Joint Rules Resolution -- Workload Reporting,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR011.json,3,2020-03-16,http://le.utah.gov/~2020/bills/sbillenr/SJR011.pdf
1603914,1344815,SJR012,SJR012,Joint Resolution Regarding Construction or Demolition Material,Joint Resolution Regarding Construction or Demolition Material,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR012.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR012.pdf
1603915,1354029,SJR013,SJR013,Joint Resolution Promoting Awareness of Motorcycle Profiling,Joint Resolution Promoting Awareness of Motorcycle Profiling,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR013.json,2,2020-03-09,http://le.utah.gov/~2020/bills/sbillint/SJR013.pdf
1603916,1356303,SJR014,SJR014,Proposal to Amend Utah Constitution - Education Funding,Proposal to Amend Utah Constitution - Education Funding,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR014.json,1,2020-03-05,http://le.utah.gov/~2020/bills/sbillint/SJR014.pdf
1603917,1357219,SJR015,SJR015,Joint Resolution on Jail Facility,Joint Resolution on Jail Facility,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR015.json,1,2020-03-06,http://le.utah.gov/~2020/bills/sbillint/SJR015.pdf
1603918,1358510,SJR016,SJR016,Joint Rules Resolution Regarding Electronic Meetings,Joint Rules Resolution Regarding Electronic Meetings,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SJR016.json,3,2020-03-20,http://le.utah.gov/~2020/bills/sbillenr/SJR016.pdf
